suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Gailes|1550000|410000|0.26|228000|84000|5|25|22|3|68|1235.29|1|67|2149.25|0|0|3|2|4|1| No set office hours| Management Rights Sales|Mark Neale|" Gym, Storage, CCTV, NBN
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Gailes-QLD-3879957|"HIGH INCOME - GREAT OPPORTUNITY : MANAGEMENT RIGHTS SALES - ID 8876
              "|Permanent Management Rights For Sale|" Stand alone townhouse, Air conditioning, Large outdoor area and back yard
                       "|Yes| 1 month ago.|3879957|2018-09-05
REDCLIFFE|890000|495000|0.56|105000|62262|3.8|25|19|0|44|1415.05|15|21|2035.14|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/REDCLIFFE-QLD-3879381|"FOR SALE.. LIFE STYLE AND INCOME
              "|Due to personal family predicament the current manager who has been|" 
                       "|Yes| 3 months ago.|3879381|2018-09-05
Wynnum West|930000|470000|0.51|95000|65000|4.8|25|22|18|40|1625|24|15|2000|0|1|3|2|2|1| none stated| Property Bridge|Bobo Qi|" Gated Townhouse Complex, Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879557|"Lifestyle on the Bay
              "|This beautiful boutique bayside gated townhouse complex is five minutes away from the convenience of Wynnum Plaza and the waterfront.  |" Townhouse, Large back yard, 3 Bedroom, Spacious
                       "|Yes| 3 months ago.|3879557|2018-09-05
Hillcrest|1030000|420000|0.41|133000|45600|4.6|24|24|3|38|1200|2|36|2427.78|0|0|3|2|2|1| | Management Rights Sales|Tony Johnson|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3881699|"QUALITY RESIDENCE FOR PERMANENT COMPLEX
              "|Phillip Usher Special|" 3 bedroom townhouse, 2 bathrooms, Private courtyard, Double lock up garage, Main bedroom with ensuite
                       "|No| 1 month ago.|3881699|2018-09-05
Aspley|1068000|440000|0.41|113686|103447|5.5|25|24|0|84|1231.51|64|4|2559.75|0|16|3|2|1|0| No office hours required| Joy Realty|Rodney Li|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3880106|"Mostly caretaking, with potential of building up your lettings
              "|Unbeatable management right business with 84 units complex but only 4 letting pools to manage. No worry at all for losing lettings (but full potential to increase lettings from outside agents). You only need to take care of limited garden and a tiny swimming pool.|" 
                       "|No| 3 weeks ago.|3880106|2018-09-05
CLEVELAND|1393914|720000|0.52|143386|110373|4.7|20|20|0|56|1970.95|36|17|1941.94|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CLEVELAND-QLD-3881747|"Raby Bay Fantastic Complex
              "|If you are looking for a complex that gives you a big income at a reasonable price, this is the one for you.|" 
                       "|Yes| 1 month ago.|3881747|2018-09-05
ALGESTER|1615000|540000|0.33|215000|80102|5|25|20|0|68|1177.97|22|45|2997.73|0|0|4|0|0|1| | Raas Group|Jim Prentice|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ALGESTER-QLD-3880280|"MANAGEMENT RIGHTS.. HOME&BUSINESS OPPORTUNITY IN GREAT LOCATION
              "|THE BUSINESS consists of a 13 year old complex with just over 65% of the units in the Manager's rental pool. Enquiries for rentals is steady with very little down-time and the mix of three and four bedroom units are popular with tenants.  The grounds have just been freshly mulched.  Exterior painting of the buildings is all but complete.  A fresh clean presentation of the complex and nothing major to do for the forseeable future. |" 
                       "|No| 2 months ago.|3880280|2018-09-05
RIVERHILLS|510000|390000|0.76|40000|40000|3|25|21|0|26|1538.46|17|8|0|0|0|4|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/RIVERHILLS-QLD-3882875|"simple quiet complex
              "|Quiet hilltop location, good aspect. Minimum duties. Large managers unit. |" 
                       "|Yes| 1 month ago.|3882875|2018-09-05
Eight Mile Plains|540000|410000|0.76|37375|33207|3.5|25|16|0|16|2075.44|0|4|1042|0|0|3|2|1|1| No office hours required| Joy Realty|Kobe Xu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881892|"Great Investement Opportunity at Eight Mile Plains
              "|This Complex is located at Eight Mile Plains, Only 3 minutes drive to Market Square Sunnybank|" 
                       "|No| 3 weeks ago.|3881892|2018-09-05
Teneriffe|1550000|900000|0.58|135384|106791|4.8|10|9|16|66|1618.05|0|10|2859.3|0|0|2|2|1|1| NO SET OFFICE HOURS| RCA Business Brokers|ROD ASKEW AND ERIC BRIZUELA|" SWIMMING POOL, BBQ AREA, SECURE PARKING
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Teneriffe-QLD-3881718|"ABSOLUTE RIVER FRONT WITH NO SET OFFICE HOURS.
              "|$135,384 Nett Income|" Very modern 2 bedroom main with ensuite, 2 bathroom, air conditioned large open living area, spacious apartment with Brisbane River views.
                       "|No| 1 month ago.|3881718|2018-09-05
Richlands|899000|375000|0.42|105077|45271|4.9|25|23|0||0|0||0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3878514|"Simple and Easy!
              "|Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station|" 
                       "|No| 1 month ago.|3878514|2018-09-05
CLEVELAND|751555|0|0|156574|115759|4.8|25|15|0|73|1585.74|47|18|2267.5|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CLEVELAND-QLD-3883458|"Three Contagious Complexes
              "|All available together Reasonably priced|" 
                       "|Yes| 1 month ago.|3883458|2018-09-05
Deception Bay|1898000|378000|0.2|289588|107429|5.2|25|21|0||0|2|80|0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|Jack Liu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3881850|"Big Nett Permanent, NO NEED TO LIVE ON SITE!
              "|Conveniently located in a strong rental area just a few minutes drive to the Deception Bay Shopping Centre and just 8kms to the mighty North Lakes Shopping Centre, 6kM to American retail giant Costcos and Bunnings new stores. These new stores require a large number of retail staff making Deception Bay a stronger than ever rental location|" 
                       "|No| 2 months ago.|3881850|2018-09-05
SOUTH BRISBANE|890400|0|0|168000|118035|5.3|20|15|0|68|1735.81|25|20|2498.25|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SOUTHBRISBANE-QLD-3883603|"South Brisbane's Best Complex
              "|This magnificent complex is positioned in a very highly sought out location with stunning views of the South Bank Parklands and Brisbane River. Exotic out door dinning and so many restaurants to choose from, its no wonder why South Bank is a popular place to visit.|" 
                       "|Yes| 1 month ago.|3883603|2018-09-05
Brisbane City|1495000|420000|0.28|200800|76703|5.4|25|18|21|57|1345.67|6|43|2885.98|0|8|2|1|1|1| No set office hours| Shine Realty|Celine Tseng|" gym, spa, sauna
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3884222|"WELL CONNECTED AND EASY TO MAINTAIN!
              "|This unique complex is conveniently located in the heart of Brisbane. Surrounded by abundant shopping centres, easily accessible public transportation and parks, it makes for the perfect combination of business and the city-living lifestyle. Within a short walking distance to the Brisbane CBD. A matter of minutes to the Queen Street Mall, and the abundant entertainment and night-life options the central business district has to offer. This complex maintains consistently high tenancy and rental demand figures. Almost no gardening work whatsoever- the care-taking job is easy enough for one person to maintain. This is a great opportunity for the first time business operator, or for the experienced manager seeking an additional low-maintenance investment. It won't stay on the market for long- call Celine today on for further information or to book your inspection. |" 
                       "|No| 1 day ago.|3884222|2018-09-05
THORNESIDE|1175000|349000|0.3|183554|130944|4.5|10|10|0|104|1259.08|63|33|1594.24|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/THORNESIDE-QLD-3885077|"Beautiful Bay Side
              "|This is a delightful complex in a beautiful area close to all amenities. It would be ideal for a first timer or someone who wants to go a little bigger. There are no hidden secrets in this one. You will enjoy a lovely life style.Income has been varified by Kram Group |" 
                       "|Yes| 5 days ago.|3885077|2018-09-05
ASPLEY|165000|0|0|51000|35244|3.2|25|14|0|23|1532.35|9|12|1313|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ASPLEY-QLD-3885098|"Great Starter in Aspley
              "|Lovely trendy starters complex in great location or bolt on that has $5,900 worth of expenses in the P&L and as you know if you purchase this as a bolt on virtually non of the expenses will be applicable.|" 
                       "|Yes| 5 days ago.|3885098|2018-09-05
Kangaroo Point|1915000|850000|0.44|215000|168236|5|10|10|0|91|1848.75|48|30|1558.8|0|13|3|2|0|1| | Management Rights Sales|Greg Jorgensen|" Large saltwater pool, Full tennis court, BBQ facilities, Security parking
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KangarooPoint-QLD-3885177|"PRIVATE SANCTUARY & A FANTASTIC LIFESTYLE IN KANGAROO POINT
              "|PRIVATE SANCTUARY & A FANTASTIC LIFESTYLE IN KANGAROO POINT|" 3 bedroom apartment, 2 bathrooms, 3 outdoor patio areas, Air-conditioning
                       "|No| 2 days ago.|3885177|2018-09-05
HEMMANT|1010000|320000|0.32|154000|104181|4.5|25|19|0|82|1270.5|35|37|1346.46|0|0|3|0|0|1| | Raas Group|Peter Sagner|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/HEMMANT-QLD-3884668|"Hidden in Hemmant!
              "|Located in Hemmant only eleven kilometres from the Brisbane CBD and 15 minutes by train in the most picturesque location, this business boasts a secure salary with excellent inbuilt growth. This complex is adjacent to parkland, with train transport in walking distance and only five minutes by car to Wynnum Plaza. |" 
                       "|No| 1 week ago.|3884668|2018-09-05
East Brisbane|1383717|0|0|318926|120650|4.3|25|25|0|127|950|0|102|1943.88|0|0|2|0|0|0| | Resort Brokers|Gareth Closter|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EastBrisbane-QLD-3836940|"Business Only Management Rights - 23% Return!  | Resort Brokers ID : OTP004377
              "|It was only a matter of time before the trendy suburb of East Brisbane saw the emergence of a building of this quality. The Welllington is a unique retail and living management rights (genuine business only), located in the heart of the suburb. Due for completion in October 2017, it presents a perfect opportunity for an experienced operator to add to their growing portfolio.|" 
                       "|no| 2 years ago.|3836940|2018-09-05
Bowen Hills|1452443|0|0|382230|0|3.8|25|25|0||0|0||0|0|0|0|0|0|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BowenHills-QLD-3845448|"Designer Apartments in Elevated Inner City Location - Business Only OTP MLR | Resort Brokers ID : OTP004472
              "|Omega Apartments consists of 130 spacious one and two bedroom apartments located within the $2.9 billion RNA urban renewal precinct. All of the apartments include spacious balconies, a secure car park and the two bedroom apartments comprise two bathrooms. Omega Apartments has four podium car park levels and 13 residential levels commencing on level five.|" 
                       "|no| 2 years ago.|3845448|2018-09-05
Runcorn|1024000|369000|0.36|124000|71000|5.3|25|22|14|52|1365.38|22|27|1962.96|0|3|3|3|2|1| None| Property Bridge|Bobo Qi|" Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3884399|"NO NEED TO LIVE ON SITE
              "|Close proximity to excellent shopping centres. |" Situated on a large block, 3 Bedroom, 3 Bathroom, 2 Car
                       "|Yes| 1 week ago.|3884399|2018-09-05
BARDON|1848800|650000|0.35|222000|102539|5.4|25|24|0|108|949.44|60|41|2913.68|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BARDON-QLD-3878261|"Near New at Bardon
              "|The developer has just finished this complex two stage, two Body Corporates, 23 and 24 years to run on agreements. All the hard work has been done|" 
                       "|Yes| 4 months ago.|3878261|2018-09-05
Carseldine|700000|460000|0.66|59348|47055|4|25|24|15|30|1568.5|19|10|1229.3|0|1|4|2|3|1| NIL| Raine & Horne Onsite Rights|Joanne Piercy|" Mainly Caretaking income with a small letting pool. The current manager is selling  due to family commitments.Located close to bus, trains, shops and quality schools and only 14 kilometres to the City. Very well maintained complex enabling a smooth transition for the incoming purchaser.Easy care grounds with everything centrally located for ease of operation.Perfect for mangers looking to downsize or for  new comers to the industry looking for a complex that will give them the experience required to buy a larger business later. There is no need to sell up and move as this complex could easily be run in conjunction  with an add on business.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Carseldine-QLD-3880117|"No Requirement to live on site
              "||" On offer with this business is an extremely appealing 4 bedroom Residence with a large private yard and covered alfresco area that will easily accommodate all of your extended family and friends. One of those rare management rights businesses that has a home that you will not want to leave. However for those who not wanting to live on site , the Residence is set up perfectly with a separate entrance to the office making it a very appealing rental proposition.
                       "|Yes| 3 months ago.|3880117|2018-09-05
Bulimba|1136817|469000|0.41|190805|128000|3.5|25|25|0|79|1620.25|0|26|2415.58|0|0|1|1|0|0| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3859644|"Great Value in Riverside Suburb with a 3.5 Multiplier | Resort Brokers ID : OTP004834
              "|Eastpark Bulimba is a brand new, low-rise management rights development in the, much desired, riverside suburb of Bulimba. This premium apartment complex, constructed by reputable developer DeLuca, consists of 79 contemporary apartments and beautiful communal pool facilities.|" 
                       "|no| 1 year ago.|3859644|2018-09-05
Albany Creek|699000|0|0|169861|81400|4.1|25|25|0|74|1100|0|50|1769.22|0|0|0|0|0|1| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/AlbanyCreek-QLD-3860651|"Amazing Off The Plan Luxury Townhouse Complex - 23% ROI | Resort Brokers ID : MRB004849
              "|Resort Brokers Australia offers you Preston Point, located in Albany Creek. This large, 3 stage 'off the plan' townhouse complex consists of 2, 3 and 4 bedroom pavilion homes|" 
                       "|yes| 1 year ago.|3860651|2018-09-05
Oxley|740000|0|0|172494|66000|4.3|25|25|0|66|1000|0|48|2218.62|0|0|0|0|0|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Oxley-QLD-3860670|"Price Reduced, Projections Reviewed based on Market Feedback!  | Resort Brokers ID : MRB004850
              "|Pavilions on Parkvue is offered to the market exclusively by Resort Brokers Australia. The large, spacious and beautifully appointed 3 and 4 bedroom pavilion homes will surround a luxurious resort styled swimming pool and recreational area in the South West growth corridor of Brisbane.|" 
                       "|yes| 1 year ago.|3860670|2018-09-05
Indooroopilly|1953485|606500|0.31|292823|124950|4.6|25|25|0|119|1050|0|83|2022.57|0|0|3|3|1|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Indooroopilly-QLD-3853755|"The Best of the West? OTP Complex in Indooroopilly | Resort Brokers ID : OTP004668
              "|Westside Indooroopilly is destined to be one of the jewel in the Brisbane Management Rights market. Arguably the best complex in the area in recent times netting well over $300k.|" 
                       "|no| 1 year ago.|3853755|2018-09-05
Burpengary|650000|0|0|131000|87000|5|25|24|0||0|0|34|0|0|0|0|0|0|0| NONE| SIRE Management Rights|Richard  Jessica|" - Low Maintenance- Good location- Close to transport  schools  shopping centres- Very Good
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Burpengary-QLD-3876325|"Excellent MR - No Unit To Buy!
              "|- Enjoy the ROI for this ideal MR|" - No Managers Unit- This makes this business very high ROI
                       "|No| 3 months ago.|3876325|2018-09-05
Springwood|885254|545000|0.62|75612|68400|4.5|25|25|0|57|1200|44|6|1202|0|6|4|2|1|1| not in caretaking agreement| Resort Brokers|Jessica  Wilkie|" pool and bbq area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3876639|"Lifestyle! Securityâ  Brand New 25 Year Agreements! Minimal Caretaking!  | Resort Brokers ID : MR005232
              "|Secure the Management Rights for a suburban townhouse complex of 57 units completed November 2017. Solid Body corporate Salary of $68,400. Enjoy your lifestyle in a luxury 4 bedroom + office managers unit!|" four bedroom, two bathroom , attached office, single lock-up garage, sleek kitchen, stone benchtops, european appliances, gas cooktops, open plan lounge
                       "|yes| 4 months ago.|3876639|2018-09-05
Forest Lake|1250000|365000|0.29|171000|81114|3.7|25|20|0||0|0|39|0|0|7|3|2|1|1| NONE| SIRE Management Rights|Richard  Jessica|" - Low Maintenance- Minimal Caretaking Duties
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ForestLake-QLD-3876020|"Excellent Location - Make an offer!
              "|- Easy to run business|" - Spacious 190m2 floor area- Office on title- Highset- Air-conditioned- Private courtyard
                       "|No| 2 months ago.|3876020|2018-09-05
Newstead|4689353|0|0|919481|350000|5.1|25|25|0|319|0|0||0|0|0|2|2|1|0| 8am-5pm M-F, 8am-12pm Sat| Resort Brokers|Tim Crooks|" Concierge, health&wellness centre
Private residentsâ lounge and dining with associated kitchen,
Podium level outdoor landscaped terrace and fire pit
Outdoor kitchen/BBQ and dining
Communal space and island bar
Billiard table, private theatre room
Landscaped rooftop garden terrace with outdoor kitchen/BBQ and dining
Pools and spa
Outdoor cinema
Putting green and lounging areas
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3865268|"2 Towers, 319 Apartments, 1 Body Corporate | Resort Brokers ID : OTP004954
              "|Highly anticipated, Kokodas premier Brisbane development, Chester&Ella, is a residential oasis with upscale hotel amenity situated in the heart of energetic Newstead|" Ground floor apartment - located in Ella
Total living area of 87m2, including a 16m2 outdoor terrace.
                       "|yes| 11 months ago.|3865268|2018-09-05
Brisbane City|1398000|380000|0.27|207870|55865|4.9|25|15|0||0|0||0|0|0|3|1|1|1| As per agreements| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3883248|"Sunny Life and Great Business in Bayside of Brisbane
              "|- Possible Best Value Management Rights in leafy Bayside of Brisbane|" 
                       "|No| 3 days ago.|3883248|2018-09-05
Windsor|710000|0|0|131612|49600|0|25|23|2|44|1127.27|1|42|1952.67|0|1|0|0|0|0| None| Raine & Horne Onsite Rights|Joanne Piercy|" Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Windsor-QLD-3883221|"Business Only Mangement Rights in Prime Location
              "|Just listed.|" No unit to buy and no requirement to live onsite.
                       "|Yes| 4 days ago.|3883221|2018-09-05
Ormiston|1125000|375000|0.33|157613|119915|4.8|10|10|0|58|2067.5|0|24|1570.75|0|0|3|2|1|1| Approximately 4.5 hours a week| RCA Business Brokers|ROD ASKEW AND ERIC BRIZUELA|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Ormiston-QLD-3884145|"LIGHT DUTIES PERMANENT RENTALS NETTING OVER $150,000
              "|Over $150,000 nett income|" Aircon, Courtyard, Single Lock Up Garage
                       "|No| 2 days ago.|3884145|2018-09-05
Keperra|0|630000||279234|103639|1.7|25|24|2017||0|0|79|0|0|0|3|2|2|1| NONE| SIRE Management Rights|Richard  and Jessica|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Keperra-QLD-3877286|"Not required to live onsite!
              "|- Easy to run business|" - Optional to purchase managers unit- Not required to live onsite - 3 beds, 2.5 baths, DLUG, private courtyard- Office on title
                       "|Yes| 4 months ago.|3877286|2018-09-05
CALAMVALE|0|419000||106000|106000|4.7|25|22|0||0|0|14|0|0|0|3|2|6|1| No| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CALAMVALE-qld-3871446|"Perfect size to enter into the management rights
              "|Be the first one to see this wonderfully management rights in the ever popular Brisbane southern suburb. If you want to live in a spacious family home, this is an opportunity not be missed!|" 
                       "|No| 1 day ago.|3871446|2018-09-05
Dakabin|1440000|399000|0.28|208000|109000|5|25|21|0||0|0|68|0|0|0|4|2|2|1| no| SIRE Management Rights|Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Dakabin-QLD-3880433|"Are you looking for secure income, secure letting pool, investor complex with big salary?
              "|Not required to live onsite,|" 
                       "|No| 1 month ago.|3880433|2018-09-05
Deception Bay|1180000|380000|0.32|155298|67643|5.2|25|23|0||0|0|47|0|0|0|3|2|2|1| NONE| SIRE Management Rights|Richard  Jessica|" Pool, BBQ, Low Maintenance
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3877291|"Perfect Location, Great Business Opportunity!
              "|- Easy to run business|" 3 Beds, 2.5 Baths, DLUG, Private Courtyard, Office On Title
                       "|No| 4 months ago.|3877291|2018-09-05
Bulimba|1985000|785000|0.4|231000|118131|5.2|25|20|0|95|1243.48|44|52|2170.56|0|11|3|2|2|1| | Resort Brokers|Brent Staker|" Two pools, two BBQs
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3878757|"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "|Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.|" Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "|yes| 3 weeks ago.|3878757|2018-09-05
BRISBANE|5522000|1000000|0.18|760000|50048|6|25|19|0|45|1112.18|1|42|16903.62|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BRISBANE-QLD-3885026|"Hotel
              "|Valuation on Manager's Unit available. Valuation on Breakfast Room available. Finances have been done by Holemans prior to listing and are available. This is one of the best inner city corporates available. Be quick.|" 
                       "|No| 2 days ago.|3885026|2018-09-05
Eight Mile Plains|0|650000||243086|104046|5.5|25|21|9||0|0||0|0|0|4|2|0|1| NO| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971|"Great Lifestyle Business
              "|Managers  Residence:|" - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "|No| 1 day ago.|3881971|2018-09-05
Hillcrest|1199000|440000|0.37|154271|72474|4.9|25|24|0|60|1207.9|0|52|1573.02|0|0|3|2|2|1| NIL| Resort Brokers|Jessica  Wilkie|" Pool, BBQ, gym
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3875908|"Must Sell Due to Serious Health Issues - Perfect for First Time Buyer | Resort Brokers ID : MR005226
              "|Live in the beautiful southside suburb of Hillcrest and earn a generous remuneration salary of $72,474 (net profit of $158,014). Manage 53 units in this outstanding 60 unit complex all while enjoying a flexible work/life balance.|" Spacious, open plan, three-bedroom, two-bathroom, double lockup garage, townhouse. Has own street access within the complex. Grassed backyard and own garden. Modern kitchen with stainless appliances and large island bench. King-sized master bedroom and queen sized guest rooms.
                       "|No| 13 hours ago.|3875908|2018-09-05
Mango Hill|955000|405000|0.42|121219|56976|4.5|25|23|0|50|1139.52|2|45|1427.62|0|3|3|2|1|1| None| Resort Brokers|Brent Staker|" pool and BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/MangoHill-QLD-3882940|"Neat and Secure Mango Hill Business Netting Over 120K Approx. | Resort Brokers ID : MR005382
              "|Resort Brokers Australia is excited to offer to the market Kinsella Place. This management rights townhouse-style complex is located in the suburb of Mango Hill. Mango Hill is arguably one of Brisbanes most up and coming locations. The growth in this area has increased significantly in the past ten years attracting new local business co-existing with current well-established businesses.|" Three large spacious bedrooms and two bathrooms. Single lock up garage and one visitor spot. Multi-level with a spacious lounge and dining area.
                       "|No| 13 hours ago.|3882940|2018-09-05
Seventeen Mile Rocks|0|550000||202100|122130|5.2|25|24|0||0|0|36|0|0|4|3|2|3|1| none| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SeventeenMileRocks-QLD-3884496|"Permanent Management Rights | Big Salary with Massive potential
              "|Managers  Residence: |" Spacious manager unit Suitable for a family
                       "|No| 1 day ago.|3884496|2018-09-05
Redcliffe|307500|0|0|66000|27196|4.7|25|20|5|28|971.29|0|28|1385.86|0|0|0|0|0|0| None set| Management Rights Agents|David Manson|" Equipment Shed
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Redcliffe-QLD-3884160|"Redcliffe Management Rights Reduced to sell No Managers Accommodationl
              "|Redcliffe Management Rights Reduced to sell|" None
                       "|No| 2 days ago.|3884160|2018-09-05
Murrumba Downs|0|525500||225000|80000|5.3|25|20|10|75|1066.67|7|62|2338.71|0|5|4|2|2|1| ||Fang Simpson|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/MurrumbaDowns-QLD-3885745|"Location is right !
              "|Management Rights for sale. Well maintained, perfectly located complex of all 3 bedroom townhouses ( managers house 4 bedroom ), close to proposed new university campus Petrie site  ( open 2020,  under construction now )   2 Mins walk to shopping village, 5 mins walk to local school, 2 Mins drive to Motorway, 4 mins drive to railway station, 20 mins drive to Airport , 25 mins drive to CBD.|" Large 4 bedroom stand alone house. Modern kitchen. Separate laundry and storage .Remote double lock up garage . Well setup office
                       "|No| 6 days ago.|3885745|2018-09-20
BRISBANE|5522000|1000000|0.18|760000|50048|6|25|19|0|45|1112.18|1|42|16903.62|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BRISBANE-QLD-3885026|"Hotel
              "|Valuation on Manager's Unit available. Valuation on Breakfast Room available. Finances have been done by Holemans prior to listing and are available. This is one of the best inner city corporates available. Be quick.|" 
                       "|No| 2 weeks ago.|3885026|2018-09-20
CALAMVALE|0|419000||106000|106000|4.7|25|22|0||0|0|14|0|0|0|3|2|6|1| No| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CALAMVALE-qld-3871446|"Perfect size to enter into the management rights
              "|Be the first one to see this wonderfully management rights in the ever popular Brisbane southern suburb. If you want to live in a spacious family home, this is an opportunity not be missed!|" 
                       "|No| 2 weeks ago.|3871446|2018-09-20
Eight Mile Plains|0|650000||243086|104046|5.5|25|21|9||0|0||0|0|0|4|2|0|1| NO| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971|"Great Lifestyle Business
              "|Managers  Residence:|" - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "|No| 2 weeks ago.|3881971|2018-09-20
